|4|| || ||6||7||5||3||8||9|
|9|| ||7||3||1|| ||2||4||5|
|8||5||3|| ||9||2|| ||1||7|
|1||9|| ||7||4||2||5|| ||3|
|7||3||4|| ||5||6||1|| ||9|
|5||2|| ||1|| ||9||7||4||8|
|2||1||6||8||3|| || ||5||4|
| || ||3||4||9||1||6||8||2|
|9||8||4||2|| || ||3||7||1|

|4||2||1||6|| || ||3||8||9|
| ||6||7||3||1|| ||2||4||5|
|8||5||3||4||9||2|| || ||7|
|1||9||8|| ||4|| ||5||6||3|
|7||3||4|| ||5||6|| ||2||9|
| ||2|| ||1||3||9||7||4||8|
| ||1||6||8||3|| ||9||5||4|
| || ||3||4||9||1||6||8||2|
|9||8||4||2||6|| ||3|| ||1|

